Status,Condition,District,Area,Rooms,Bathrooms,Balcony+,Heating,Conditioner,Parking,Lift,PerSq
ახალი აშენებული,შავი კარკასი,დიდუბე,85,3,1,0,0,0,0,0,500
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,110,4,2,10,0,0,0,0,1364
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,39,2,1,1,1,0,0,0,923
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,40,1,1,8,1,1,1,0,908
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,58,2,1,6,1,0,0,1,855
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,28,1,1,0,0,0,0,0,832
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,50,3,2,5,0,0,0,1,800
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,63,2,1,14,1,0,1,1,794
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,72,3,1,0,1,0,1,1,758
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,119,4,2,19,1,0,1,1,754
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,108,4,1,9,0,0,1,0,725
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,76,3,2,3,1,0,0,0,724
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,60,3,2,2,1,0,0,1,717
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,102,4,2,0,1,0,1,0,708
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,75,3,1,5,1,1,1,1,703
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,60,2,1,0,0,0,0,1,668
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,108,3,3,24,0,0,0,1,556
ძველი აშენებული,ძველი გარემონტებული,დიდუბე,70,2,2,0,0,0,0,0,514
ახალი აშენებული,ძველი გარემონტებული,დიდუბე,126,4,2,13,1,1,1,1,800
ძველი აშენებული,ახალი გარემონტებული,დიღმის მასივი,51,1,1,3,1,0,0,1,1078
ძველი აშენებული,ახალი გარემონტებული,დიღმის მასივი,97,4,2,18,1,1,1,1,803
ძველი აშენებული,ახალი გარემონტებული,დიღმის მასივი,75,3,1,17,1,0,1,0,789
ძველი აშენებული,ახალი გარემონტებული,დიღმის მასივი,101,4,2,12,1,0,1,1,752
ძველი აშენებული,ახალი გარემონტებული,დიღმის მასივი,35,1,1,0,1,0,1,0,743
