ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION,Difference
8938924,old,oldRenov,saburtalo,120,4,2,2,9,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,61,542,732,190
8938155,old,newRenov,temqa,62,3,1,1,4,5,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,122,542,561,19
8929555,old,oldRenov,saburtalo,120,4,2,2,9,9,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,354,542,709,167
8929550,old,newRenov,gldani,120,4,3,2,6,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,240,542,557,15
8906344,old,oldRenov,varketili,48,1,1,1,4,9,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,350,542,489,53
8836771,old,newRenov,chugureti,120,3,2,1,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,437,542,819,277
8668435,old,newRenov,nucubidze,78,3,2,1,3,16,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,531,542,699,157
8948626,new,white,didDigomi,70,3,2,2,6,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,60,543,663,120
8943474,new,newRenov,varketili,46,2,1,2,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,105,543,671,128
8948721,old,oldRenov,gldani,90,3,2,3,8,9,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,52,544,557,13
8958416,old,oldRenov,muxiani,110,4,3,2,6,9,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,26,545,499,46
8933051,old,newRenov,digmisMas,55,2,1,1,6,6,0,25,0,1,1,0,1,1,1,0,0,0,0,0,1,1,204,545,729,184
8872070,old,newRenov,gldani,112,7,2,2,1,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,955,545,557,12
8899994,old,newRenov,gldani,75,3,2,1,5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,337,547,576,29
8932868,new,white,didDigomi,84,3,0,1,4,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,69,548,563,15
8952046,new,white,didDigomi,111,4,3,2,7,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,145,550,527,23
8945678,old,newRenov,gldani,100,3,2,1,3,8,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,41,550,584,34
8934626,new,black,ortawala,40,1,0,1,1,11,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,264,550,643,93
