Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
new,newRenov,varketili,65,2,1,1,1,5,3,0,8,0,0,0,1,1,0,0,1,0,0,0,1,0,538
new,newRenov,saburtalo,60,3,2,1,3,12,3,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1450
new,newRenov,saburtalo,80,3,2,1,9,14,4,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1438
new,newRenov,saburtalo,65,2,1,1,7,7,5,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1385
new,newRenov,saburtalo,180,4,3,1,3,14,24,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1379
new,newRenov,saburtalo,50,2,1,1,2,10,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1360
new,newRenov,saburtalo,78,2,1,1,5,9,11,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1346
new,newRenov,saburtalo,47,2,1,2,2,5,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1340
new,newRenov,saburtalo,47,2,1,2,2,5,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1340
new,newRenov,saburtalo,50,3,2,1,2,9,4,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1340
new,newRenov,saburtalo,72,3,2,1,2,9,12,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1319
new,newRenov,saburtalo,59,2,1,1,3,8,5,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1305
new,newRenov,saburtalo,131,4,3,3,4,22,13,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1294
new,newRenov,saburtalo,50,2,1,1,3,5,7,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1284
new,newRenov,saburtalo,164,5,3,3,16,22,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1280
