	Area	Rooms	Bedrooms	Bathrooms	Floor	Floors	Balcony	Veranda	Loggia	Heating	Parking	Storeroom	Hot	Gas	Internet	Fireplace	Furniture	Passenger	Service	Telephone	Television	Conditioner	St_new	St_old	Co_black	Co_newRenov	Co_oldRenov	Co_white	Di_didiDigomi	Di_digmisMas	Di_gldani	Di_saburtalo	Di_vake	Di_varketili
170	150	5	3	2	11	13	3	0	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0
171	92	3	2	1	1	19	5	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
172	103	2	1	2	10	11	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
173	155	3	2	2	3	8	4	40	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
174	42	2	1	1	2	8	4	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1
175	84	3	1	1	1	9	7	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
176	45	2	1	2	2	8	4	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
177	50	2	1	2	3	9	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
178	70	3	2	1	9	13	7	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
179	48	2	1	1	5	10	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
180	71	3	2	1	6	12	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
181	78	4	3	1	3	9	6	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
182	62	3	2	1	2	6	3	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
