ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION
8895321,new,newRenov,samgori,42,2,1,1,6,9,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,167,560,653
8951704,new,newRenov,gldani,42,2,1,1,15,19,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,46,893,888
8950897,old,newRenov,vera,42,2,1,1,2,4,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,112,1310,1225
8923928,new,newRenov,saburtalo,42,2,1,1,8,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,142,1333,1235
8758216,old,newRenov,didube,42,1,1,1,1,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,727,595,698
8935257,old,oldRenov,chugureti,42,3,2,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,189,590,821
8950799,old,oldRenov,chugureti,42,2,1,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,90,857,847
8923789,new,white,saburtalo,42,2,1,1,7,9,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,159,1012,909
8923726,new,white,saburtalo,42,2,1,1,7,9,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,154,1012,909
8927437,new,white,saburtalo,42,2,1,1,7,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,251,1036,954
8906720,old,oldRenov,chugureti,42,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,881,897
8938710,new,newRenov,didDigomi,43,2,1,1,3,9,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,251,686,706
8928422,new,newRenov,nucubidze,43,2,1,1,4,7,3,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,689,872,842
8936695,new,newRenov,didube,43,2,1,1,10,14,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,51,1465,1190
8850376,new,newRenov,varketili,43,2,1,1,8,9,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,911,535,632
8943351,new,newRenov,varketili,43,2,1,1,4,9,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,73,651,717
8854272,new,newRenov,didDigomi,43,2,1,1,8,8,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,382,721,786
8924569,new,newRenov,didDigomi,43,2,1,1,7,9,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,80,837,832
8753915,new,newRenov,vake,43,2,1,1,2,7,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,578,1977,1617
8911940,new,oldRenov,saburtalo,43,1,1,1,7,10,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,399,988,1001
8953482,old,newRenov,saburtalo,43,1,1,1,4,5,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,53,1042,910
8935899,old,oldRenov,saburtalo,43,1,0,1,1,8,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,82,930,866
8936853,WIP,white,saburtalo,43,1,0,1,18,23,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85,1000,957
8951940,WIP,black,saburtalo,43,2,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,500,541
8933752,old,oldRenov,isani,43,2,1,1,2,3,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,232,477,512
